Date,day,Contacts_total,Contacts_Prop
2020-10-09,282,1.14323470851214,1.0
2020-10-10,283,1.156227820379361,1.0113652181572854
2020-10-11,284,1.1693766794605467,1.0228666701192348
2020-10-12,285,1.1878803096462183,1.0390519993853076
2020-10-13,286,1.2046607886111502,1.0537300692864313
2020-10-14,287,1.2198016082737497,1.066973911123865
2020-10-15,288,1.233411954966283,1.0788790313858683
2020-10-16,289,1.2456155969367848,1.0895536915231416
2020-10-17,290,1.256325872915415,1.0989220879677957
2020-10-18,291,1.2655415121513633,1.1069831091800906
2020-10-19,292,1.2732971088724512,1.1137670151123915
2020-10-20,293,1.2797560726466892,1.1194167419148993
2020-10-21,294,1.285057308847081,1.1240537916483622
2020-10-22,295,1.2889745653862925,1.127480259118292
2020-10-23,296,1.291377695206999,1.1295823032591965
2020-10-24,297,1.2922206593759238,1.1303196533087079
2020-10-25,298,1.2919818218354215,1.1301107394796193
2020-10-26,299,1.2910510260728403,1.1292965621670772
2020-10-27,300,1.2894313122568184,1.1278797806400978
2020-10-28,301,1.2871486986772522,1.1258831533836204
2020-10-29,302,1.2842606243776484,1.1233569229620803
2020-10-30,303,1.280906463445369,1.1204230014258416
2020-10-31,304,1.2767375774248841,1.116776430875241
2020-11-01,305,1.2717811605228169,1.1124409983825398
2020-11-02,306,1.2677467226040333,1.1089120310683527
2020-11-03,307,1.264008681505567,1.1056423253197134
2020-11-04,308,1.2603986236096998,1.102484567888988
2020-11-05,309,1.2567495061108533,1.099292644593031
2020-11-06,310,1.2532562449913376,1.096237050589887
2020-11-07,311,1.2498779662561457,1.09328203294562
2020-11-08,312,1.2469574309885245,1.090727408557578
2020-11-09,313,1.2446512199254798,1.0887101403222161
2020-11-10,314,1.2431615797719295,1.0874071356614419
2020-11-11,315,1.2424332247109098,1.0867700354618095
2020-11-12,316,1.2424286402732758,1.0867660254036824
2020-11-13,317,1.243011543422965,1.0872758972133372
2020-11-14,318,1.2440827410490185,1.0882128855833348
2020-11-15,319,1.245820631013956,1.0897330370902807
2020-11-16,320,1.2494128143235836,1.0928751594234127
2020-11-17,321,1.2536129478085014,1.096549062475555
2020-11-18,322,1.2584541664581999,1.100783729787221
2020-11-19,323,1.263689033120369,1.1053627253540912
2020-11-20,324,1.2693175585104108,1.1102860585490455
2020-11-21,325,1.2752443439268328,1.1154702830764267
2020-11-22,326,1.2815313107972013,1.12096956229141
2020-11-23,327,1.2884029636902687,1.1269802728147202
2020-11-24,328,1.2957454528777825,1.13340282903423
2020-11-25,329,1.3034987235482007,1.1401847003443728
2020-11-26,330,1.3115490033017954,1.1472263687731346
2020-11-27,331,1.3198687021605693,1.1545037010626709
2020-11-28,332,1.328265055036376,1.1618480834657683
2020-11-29,333,1.336754240821123,1.1692736678374982
2020-11-30,334,1.3455366910187627,1.1769557738234768
2020-12-01,335,1.3546659297884607,1.1849412195956572
2020-12-02,336,1.364003995150883,1.193109328290131
2020-12-03,337,1.3735469665246103,1.2014566705311194
2020-12-04,338,1.383374274137648,1.2100527248145196
2020-12-05,339,1.39336898873263,1.218795211830147
2020-12-06,340,1.4035353142795144,1.227687808836859
2020-12-07,341,1.4140307107445298,1.2368682478026027
2020-12-08,342,1.4258785146667001,1.247231652477037
2020-12-09,343,1.43832838088487,1.2581216876775714
2020-12-10,344,1.451018137762326,1.2692215578818018
2020-12-11,345,1.4640509890510272,1.2806215365490545
