Date,day,Contacts_total,Contacts_Prop
2020-10-09,282,1.1312383703295592,1.0
2020-10-10,283,1.1453381826214881,1.012464050603076
2020-10-11,284,1.1584692645048495,1.0240717561298396
2020-10-12,285,1.1770069746080105,1.0404588506533046
2020-10-13,286,1.1934075971993716,1.05495678762355
2020-10-14,287,1.2086921983945291,1.0684681762009236
2020-10-15,288,1.2221098846171923,1.0803292362344108
2020-10-16,289,1.2342009810168193,1.0910176081255663
2020-10-17,290,1.2451581392424347,1.100703593425396
2020-10-18,291,1.2544186445081347,1.1088897595850553
2020-10-19,292,1.2623669041430075,1.1159159176816529
2020-10-20,293,1.2687473288399844,1.1215561300933996
2020-10-21,294,1.2744732760780986,1.1266177929473973
2020-10-22,295,1.2787491739800279,1.130397631055862
2020-10-23,296,1.2817136372989455,1.133018178056981
2020-10-24,297,1.2834231366990887,1.1345293532831582
2020-10-25,298,1.2838112014616483,1.134872397483866
2020-10-26,299,1.283689799477317,1.1347650797093674
2020-10-27,300,1.2825718228665774,1.1337768029322863
2020-10-28,301,1.2806479180990764,1.13207609615115
2020-10-29,302,1.277821615991464,1.1295776818631083
2020-10-30,303,1.2745079348063242,1.1266484308121787
2020-10-31,304,1.2706361644708069,1.1232258362140222
2020-11-01,305,1.266209230571441,1.1193124842490634
2020-11-02,306,1.2631287471503654,1.1165893769872597
2020-11-03,307,1.260171977607931,1.1139756311844426
2020-11-04,308,1.2572812397634328,1.1114202565434144
2020-11-05,309,1.2544044138328103,1.1088771798532344
2020-11-06,310,1.2515862450659867,1.106385955332621
2020-11-07,311,1.2490254286736346,1.1041222269624402
2020-11-08,312,1.2470302598218106,1.1023585236580318
2020-11-09,313,1.2456834723008334,1.101167981013527
2020-11-10,314,1.2449665928004916,1.1005342688630695
2020-11-11,315,1.2451039183508288,1.1006556628627242
2020-11-12,316,1.245814622554043,1.1012839161308723
2020-11-13,317,1.2471722937295877,1.1024840797843993
2020-11-14,318,1.2491213008415187,1.104206976711387
2020-11-15,319,1.251621716826306,1.1064173119071943
2020-11-16,320,1.2559999497702434,1.110287612861238
2020-11-17,321,1.2608642367230123,1.114587579234684
2020-11-18,322,1.266368141249511,1.119452959220774
2020-11-19,323,1.2722047257577567,1.1246124239819857
2020-11-20,324,1.2783448065537404,1.1300401755125449
2020-11-21,325,1.2849122638979107,1.1358457223507918
2020-11-22,326,1.2917231688928523,1.1418664737446447
2020-11-23,327,1.2988092996039329,1.1481305210904011
2020-11-24,328,1.3063841470708952,1.1548265876893051
2020-11-25,329,1.3144479705578704,1.1619549027274751
2020-11-26,330,1.3226958521525514,1.1692459227379421
2020-11-27,331,1.3311773858993206,1.1767434882106358
2020-11-28,332,1.3397624017720855,1.184332530536228
2020-11-29,333,1.348278078373093,1.1918602778478107
2020-11-30,334,1.3572260746697011,1.199770190145076
2020-12-01,335,1.3664377232312532,1.207913167613979
2020-12-02,336,1.375909199079944,1.2162858290239091
2020-12-03,337,1.385458890358182,1.224727631855841
2020-12-04,338,1.3953450762508859,1.2334668915485827
2020-12-05,339,1.4053315836575573,1.242294834154315
2020-12-06,340,1.4155493817866305,1.2513272347491573
2020-12-07,341,1.4260049191205348,1.2605697937076714
2020-12-08,342,1.4381821326685922,1.271334292037506
2020-12-09,343,1.4509547920454386,1.2826251567322082
2020-12-10,344,1.463971664492829,1.294131902603636
2020-12-11,345,1.47746871648059,1.3060631209407836
2020-12-12,346,1.4914974431144485,1.318464332747073
2020-12-13,347,1.5053355968002364,1.3306970805469522
2020-12-14,348,1.5193311738947428,1.3430689885917872
2020-12-15,349,1.5331648570768899,1.355297784524617
2020-12-16,350,1.546572953975669,1.3671503677205645
2020-12-17,351,1.5591553833180498,1.3782730715400213
2020-12-18,352,1.570880327864356,1.3886377699571113
2020-12-19,353,1.5813681274116567,1.3979088482924804
2020-12-20,354,1.5898225429455197,1.4053824416178202
2020-12-21,355,1.5969558387286482,1.4116881822735674
2020-12-22,356,1.6025822447591305,1.4166618519952223
2020-12-23,357,1.606260032433487,1.4199129684449632
2020-12-24,358,1.6076274576204368,1.4211217545176558
2020-12-25,359,1.6080493554577389,1.421494706716209
2020-12-26,360,1.6066412695838816,1.420249977125356
2020-12-27,361,1.602850364007539,1.4168988659221196
2020-12-28,362,1.5963216579244361,1.4111275746944352
2020-12-29,363,1.5870437033356137,1.4029259835601815
2020-12-30,364,1.5745555840635432,1.3918866486157415
2020-12-31,365,1.5584691864776712,1.3776664824617366
2021-01-01,366,1.5402100271237797,1.361525623176198
2021-01-02,367,1.5198138498673563,1.343495667871127
2021-01-03,368,1.497277398732446,1.323573738306145
2021-01-04,369,1.4727194953602976,1.301864871266041
2021-01-05,370,1.4468889473548232,1.2790310029293885
2021-01-06,371,1.4201941116689611,1.2554331155291538
2021-01-07,372,1.3929686693960681,1.2313661788100947
2021-01-08,373,1.366953570192826,1.2083691696159464
2021-01-09,374,1.3422557405270703,1.186536609552977
2021-01-10,375,1.3192654395942933,1.1662134826720534
2021-01-11,376,1.298985481906827,1.1482862639537224
2021-01-12,377,1.281162745669394,1.132531197024512
2021-01-13,378,1.2662106250920273,1.1193137169871166
2021-01-14,379,1.2543580703592045,1.1088362128255758
2021-01-15,380,1.2461254600132734,1.101558692400298
2021-01-16,381,1.242376899104456,1.0982450133321762
2021-01-17,382,1.242706484354999,1.0985363624051812
2021-01-18,383,1.2460912788806915,1.1015284767238513
2021-01-19,384,1.2522379417240526,1.1069620466986485
2021-01-20,385,1.261159424566227,1.1148485214471804
2021-01-21,386,1.2724170313893892,1.1248000993978846
2021-01-22,387,1.2856869891452556,1.1365305693889267
2021-01-23,388,1.301976973404503,1.1509307035131802
2021-01-24,389,1.3207938322003563,1.1675645618487769
