Date,day,Contacts_total,Contacts_Prop
2020-10-09,282,1.0965150490589652,1.0
2020-10-10,283,1.1086482150907222,1.0110652070321968
2020-10-11,284,1.11930453084076,1.0207835558676124
2020-10-12,285,1.1355438373212552,1.035593481636011
2020-10-13,286,1.1512107123624271,1.0498813612730642
2020-10-14,287,1.1659988284462044,1.0633678301514151
2020-10-15,288,1.1795984883437767,1.075770450534276
2020-10-16,289,1.1914021585157584,1.0865351638705056
2020-10-17,290,1.20161403576456,1.0958481935982467
2020-10-18,291,1.2098510914170977,1.1033602251564154
2020-10-19,292,1.2170188419804646,1.1098970716589036
2020-10-20,293,1.2230883665204084,1.1154323577866707
2020-10-21,294,1.2280611063762419,1.1199673980126128
2020-10-22,295,1.2313197012019264,1.122939171932616
2020-10-23,296,1.233429868402125,1.1248636026114376
2020-10-24,297,1.2340517304551197,1.1254307284831058
2020-10-25,298,1.2333702597566065,1.1248092407077233
2020-10-26,299,1.2324413640378975,1.1239621062160385
2020-10-27,300,1.2311578700886214,1.1227915851635664
2020-10-28,301,1.2295779300499379,1.121350711150903
2020-10-29,302,1.2274857050353347,1.1194426433898643
2020-10-30,303,1.224906644398378,1.1170905911866864
2020-10-31,304,1.221243175910619,1.1137495805084445
2020-11-01,305,1.2167531408031167,1.109654757449376
2020-11-02,306,1.2137115604998372,1.1068808964741985
2020-11-03,307,1.2105877080715832,1.1040320049510635
2020-11-04,308,1.2072764470288957,1.1010122004846048
2020-11-05,309,1.2043636366891162,1.09835577516488
2020-11-06,310,1.2015073537697156,1.0957509017325893
2020-11-07,311,1.1985057760499103,1.0930135223209878
2020-11-08,312,1.1956802084472649,1.0904366606490294
2020-11-09,313,1.1934800747735896,1.0884301823288611
2020-11-10,314,1.1921483715844918,1.0872156954048187
2020-11-11,315,1.1917529842810766,1.0868551100177284
2020-11-12,316,1.1922366389723538,1.0872961935137482
2020-11-13,317,1.1932788797062537,1.0882466964136348
2020-11-14,318,1.1946188767973434,1.0894687472119706
2020-11-15,319,1.1963522132887219,1.0910495157503195
2020-11-16,320,1.199497425088728,1.0939178865973092
2020-11-17,321,1.2031907784019211,1.097286151644253
2020-11-18,322,1.207464423080508,1.1011836309193934
2020-11-19,323,1.2122882073721977,1.1055828266220236
2020-11-20,324,1.2173668541023384,1.1102144518190504
2020-11-21,325,1.2225517852734138,1.1149430063204457
2020-11-22,326,1.2279896626327134,1.1199022427339964
2020-11-23,327,1.2339146017617373,1.125305669831608
2020-11-24,328,1.2403598928598834,1.1311836476155677
2020-11-25,329,1.2473186178337525,1.1375298669217606
2020-11-26,330,1.2547449715828727,1.1443025544060714
2020-11-27,331,1.2620734434584315,1.1509859755609824
2020-11-28,332,1.2692145583795416,1.157498530885452
2020-11-29,333,1.2763450168238095,1.1640013677141734
2020-11-30,334,1.2837882148496775,1.1707894168451505
2020-12-01,335,1.291514880586743,1.177835982912526
2020-12-02,336,1.2994622012980306,1.1850837819446578
2020-12-03,337,1.3077459190511604,1.192638368414072
2020-12-04,338,1.3164322346225181,1.200560116117227
2020-12-05,339,1.3252245994019631,1.208578578597054
2020-12-06,340,1.334003324957665,1.2165846023750548
2020-12-07,341,1.3430839224177615,1.2248659273490163
2020-12-08,342,1.3538699179218077,1.2347025415508028
2020-12-09,343,1.365235255446118,1.2450675041968369
2020-12-10,344,1.3770372223219878,1.2558306641607593
2020-12-11,345,1.3892519062307696,1.266970213881727
2020-12-12,346,1.4013844923858143,1.2780348920778513
2020-12-13,347,1.4131379775793764,1.2887538377080539
2020-12-14,348,1.4252228950605499,1.2997750430180446
2020-12-15,349,1.4372896292103703,1.3107796654900994
2020-12-16,350,1.4490748254639385,1.321527530978751
2020-12-17,351,1.460070304930754,1.3315551904041751
2020-12-18,352,1.4701805134244126,1.3407755002415416
2020-12-19,353,1.4789200689392994,1.3487458017183769
2020-12-20,354,1.4862222434574355,1.3554052402043355
2020-12-21,355,1.4925359857204057,1.3611632480569305
2020-12-22,356,1.4975350904031897,1.3657223324826977
2020-12-23,357,1.5009768017230256,1.3688611050173651
2020-12-24,358,1.5027701710065486,1.3704966222727482
2020-12-25,359,1.5039930513372832,1.3716118649060198
2020-12-26,360,1.5034446869372948,1.371111767437719
2020-12-27,361,1.500804939172268,1.368704369776107
2020-12-28,362,1.4961990952194753,1.3645039313446001
2020-12-29,363,1.4890140143186035,1.3579512799176654
2020-12-30,364,1.47887061882757,1.3487007041962116
2020-12-31,365,1.465476363524487,1.3364854087339395
2021-01-01,366,1.449981170903392,1.322354100062533
2021-01-02,367,1.4321649343848313,1.3061060453423985
2021-01-03,368,1.411996423402913,1.2877127629162002
2021-01-04,369,1.3902043790810104,1.2678388502502458
2021-01-05,370,1.3676244157036495,1.2472463710163866
