Date,day,Contacts_total,Contacts_Prop
2020-10-09,282,1.137058827353261,1.0
2020-10-10,283,1.147558984705772,1.0092344891046248
2020-10-11,284,1.1582806490901523,1.0186637852205849
2020-10-12,285,1.1757393744010356,1.0340180702328408
2020-10-13,286,1.191920745472841,1.0482489707654639
2020-10-14,287,1.207679819901483,1.0621084774589957
2020-10-15,288,1.2230677047188514,1.0756415370045487
2020-10-16,289,1.2370888631629366,1.087972612676968
2020-10-17,290,1.248725493462191,1.0982065865218753
2020-10-18,291,1.2579927980906132,1.106356828537052
2020-10-19,292,1.2659523805803539,1.1133569786596875
2020-10-20,293,1.2724909487655343,1.1191074007380248
2020-10-21,294,1.2778931583391793,1.123858438629547
2020-10-22,295,1.2819105999683935,1.127391625772173
2020-10-23,296,1.2850191857494175,1.1301255087571545
2020-10-24,297,1.2855331119157887,1.1305774872775336
2020-10-25,298,1.2849762778001577,1.1300877728474306
2020-10-26,299,1.284087033458478,1.1293057162639997
2020-10-27,300,1.2829683127409623,1.1283218439342633
2020-10-28,301,1.2814297103400831,1.1269687016307461
2020-10-29,302,1.279244241506071,1.12504666489752
2020-10-30,303,1.2767332182868507,1.1228383154622799
2020-10-31,304,1.2729767548531765,1.1195346487184772
2020-11-01,305,1.2685020518785122,1.1155993176106926
2020-11-02,306,1.2651001487520035,1.1126074731742641
2020-11-03,307,1.2617614749837718,1.109671236554033
2020-11-04,308,1.2586763917932038,1.1069580232036305
2020-11-05,309,1.255634195591185,1.1042825273288037
2020-11-06,310,1.2529255851786902,1.1019004074706786
2020-11-07,311,1.2500050487621401,1.099331906750845
2020-11-08,312,1.2475601601721025,1.0971817202070857
2020-11-09,313,1.2457404272996742,1.0955813343443206
2020-11-10,314,1.2448285305189082,1.0947793558021122
2020-11-11,315,1.245044238398558,1.0949690626795936
2020-11-12,316,1.2460849339312317,1.0958843148263062
2020-11-13,317,1.2482481148104976,1.0977867501508718
2020-11-14,318,1.2506307909396754,1.099882223201043
2020-11-15,319,1.2537087617100504,1.102589181448348
2020-11-16,320,1.2586825668979602,1.1069634539734445
2020-11-17,321,1.2640208344945296,1.1116582573276346
2020-11-18,322,1.2699817884478677,1.1169006896538611
2020-11-19,323,1.276369517773054,1.1225184546907458
2020-11-20,324,1.2832139304597099,1.128537855377857
2020-11-21,325,1.2901161117529825,1.1346080613577347
2020-11-22,326,1.297251059584834,1.1408829766569366
2020-11-23,327,1.3046321277815838,1.1473743454579077
2020-11-24,328,1.312647559786535,1.154423613105395
2020-11-25,329,1.3211501192396415,1.1619012908196589
2020-11-26,330,1.3298798911628802,1.1695787932612511
2020-11-27,331,1.3384827235553556,1.1771446572126354
2020-11-28,332,1.346665812685612,1.1843413729263723
2020-11-29,333,1.3548847770524477,1.191569639546462
2020-11-30,334,1.363270413351855,1.1989444877932554
2020-12-01,335,1.3721389761368972,1.2067440515200378
2020-12-02,336,1.3813447257016744,1.2148401581974781
2020-12-03,337,1.3910493911338921,1.223375042408181
2020-12-04,338,1.4012443325569113,1.2323411057091889
2020-12-05,339,1.4111099769863076,1.2410175648264015
2020-12-06,340,1.4212719912069514,1.249954669905035
2020-12-07,341,1.4317638976519582,1.2591819026502649
2020-12-08,342,1.4439954103262558,1.2699390529225767
2020-12-09,343,1.456553347885897,1.280983281468669
2020-12-10,344,1.4694440121066934,1.2923201304607324
2020-12-11,345,1.483108724738884,1.3043377255960678
2020-12-12,346,1.496672168671213,1.3162662587607945
2020-12-13,347,1.510315976880999,1.3282654692515525
2020-12-14,348,1.5239677001218297,1.340271640711131
2020-12-15,349,1.5372703142831232,1.3519707840107422
2020-12-16,350,1.5501131718798107,1.3632655888948322
2020-12-17,351,1.5620093918753597,1.3737278620062772
2020-12-18,352,1.572971507561183,1.3833686258982738
2020-12-19,353,1.5825520054760873,1.3917943094991871
2020-12-20,354,1.5904135062771567,1.3987082005063647
2020-12-21,355,1.5968027702897092,1.4043273152424287
2020-12-22,356,1.6016006112829473,1.4085468339496587
2020-12-23,357,1.6047574764484442,1.4113231768173757
2020-12-24,358,1.6058992395300338,1.4123273140300892
2020-12-25,359,1.6068851014793075,1.4131943421253448
2020-12-26,360,1.6061214490890396,1.4125227388873263
2020-12-27,361,1.6028060923417171,1.4096070087003143
2020-12-28,362,1.596456350637327,1.404022652331374
2020-12-29,363,1.5874369030884696,1.3960903911924738
2020-12-30,364,1.5753327354452846,1.3854452360325074
2020-12-31,365,1.5598468338294078,1.371825974439927
2021-01-01,366,1.5423772269345322,1.3564621194883413
2021-01-02,367,1.522820417190167,1.3392626490001804
2021-01-03,368,1.5007716579006596,1.3198716036478213
2021-01-04,369,1.476582389317184,1.2985980617680393
2021-01-05,370,1.4511729621456255,1.2762514368087094
2021-01-06,371,1.4251266485262757,1.2533446944372721
2021-01-07,372,1.3989359008128301,1.2303109277724373
2021-01-08,373,1.3739435028487066,1.2083310641427794
2021-01-09,374,1.3506885067137826,1.187879179354149
2021-01-10,375,1.329678141430231,1.1694013620432737
2021-01-11,376,1.3116819570535916,1.1535744022205097
2021-01-12,377,1.2958762870928806,1.1396739165284
2021-01-13,378,1.2824274937593048,1.1278462142054861
2021-01-14,379,1.272252799085425,1.1188979571504283
2021-01-15,380,1.2655740485446554,1.1130242500210303
2021-01-16,381,1.2633436340410475,1.1110626852805325
2021-01-17,382,1.2653514089488178,1.1128284469627525
2021-01-18,383,1.2704672927708207,1.1173276722437444
2021-01-19,384,1.2784732240350776,1.1243685843510733
2021-01-20,385,1.2891777397108768,1.1337827988299463
